SEX		AGE		HEIGHT		WEIGHT
1		28		72		210
2		45		65		106
2		58		62		184
2		69		63		155
2		22		66		180
1		49		71		220
1		67		70		210
1		42		70		200
1		60		68		165
2		54		61		155
2		29		68		145
1		27		68		215
2		63		64		175
2		40		63		150
1		75		72		205
2		58		64		162
2		41		65		211
1		18		70		140
2		38		66		150
1		65		72		185
2		82		64		203
2		31		63		165
1		78		72		165
2		81		67		170
2		71		62		150
1		46		71		175
2		74		61		154
2		30		61		181
1		29		69		250
2		31		59		158
1		66		67		260
2		30		64		215
1		37		67		158
2		44		66		145
1		39		69		165
2		59		61		165
2		44		68		148
2		40		62		205
1		52		66		155
2		40		61		125
2		34		61		128
2		40		64		240
1		66		68		230
2		85		63		160
1		81		73		225
1		23		70		210
2		65		59		129
2		67		64		200
2		59		63		159
1		64		71		240
1		24		73		230
2		79		61		116
2		69		68		150
1		38		76		255
1		85		72		191
2		63		60		130
2		23		64		185
2		53		63		140
1		40		70		215
2		85		64		140
1		57		69		160
1		70		75		190
1		80		66		165
2		23		63		150
2		83		63		139
2		40		62		135
2		58		61		190
2		37		62		137
1		65		73		200
2		51		63		190
1		65		68		205
2		47		63		106
1		73		69		180
2		27		63		185
1		28		70		145
1		71		69		200
2		46		68		150
1		20		67		150
2		61		60		120
1		71		69		166
1		58		66		140
2		57		61		126
1		77		66		140
1		51		66		180
1		79		69		160
2		80		63		135
1		45		71		239
1		18		67		185
2		28		64		140
1		48		67		207
1		19		74		180
2		33		67		130
2		66		62		120
1		83		76		207
1		71		72		245
1		42		69		262
1		23		72		165
2		50		66		125
2		72		64		107
1		22		68		133
2		58		66		115
1		26		65		145
1		68		70		185
2		78		60		152
2		49		66		136
1		42		67		195
2		50		64		132
1		32		71		220
1		74		64		170
2		41		65		189
2		42		62		165
1		59		71		165
1		67		66		230
2		67		64		132
1		60		70		250
1		72		68		185
1		48		71		220
2		79		62		200
1		24		64		250
2		60		68		185
2		84		60		130
2		66		60		165
1		63		72		200
2		40		64		170
1		25		66		140
2		21		68		130
1		31		73		225
1		52		69		197
2		36		63		145
2		68		64		168
2		31		62		130
1		42		68		220
1		43		71		180
1		25		71		190
2		85		64		140
2		64		62		170
1		68		73		160
2		41		62		125
2		56		64		145
1		38		71		190
2		51		65		185
2		61		68		170
1		39		70		170
1		71		71		210
2		60		62		144
1		42		71		220
2		25		65		160
1		45		68		205
2		47		62		140
2		68		67		160
2		60		63		140
2		42		63		110
1		52		68		160
1		65		67		262
2		48		66		144
1		57		64		140
1		61		66		155
1		47		73		240
1		51		69		272
1		36		69		170
2		79		62		145
2		20		66		130
2		55		67		160
2		71		60		133
1		27		69		170
1		65		67		159
2		21		62		130
2		42		65		160
1		29		72		236
2		37		69		138
2		31		65		190
1		19		73		252
2		82		61		110
2		61		69		146
2		51		61		150
1		50		76		260
2		66		66		172
2		61		69		155
1		57		69		260
1		58		69		189
1		77		72		205
2		73		64		188
2		68		67		250
1		60		72		155
2		67		67		170
2		66		67		220
1		28		75		220
1		77		70		215
1		53		67		200
2		76		67		145
2		65		59		186
2		35		64		190
1		63		71		220
2		55		62		200
1		84		67		158
2		31		65		175
1		69		74		215
2		66		65		165
2		85		60		160
1		81		68		175
1		74		66		214
1		63		70		180
1		22		69		132
2		72		65		176
1		54		68		185
2		52		62		143
2		63		67		175
1		62		67		179
2		43		64		135
2		69		65		135
2		63		68		230
1		49		67		143
1		54		72		212
2		50		60		152
2		39		65		145
2		27		62		138
2		49		66		180
1		75		66		215
1		57		67		204
2		37		63		103
2		22		65		200
2		65		64		180
2		39		64		115
1		85		69		159
1		58		74		215
1		48		72		215
2		58		63		138
1		64		71		240
2		66		64		143
2		38		69		230
2		53		70		227
1		36		66		158
2		85		63		120
1		37		68		265
2		23		68		240
2		24		64		180
2		82		64		250
2		70		67		127
1		83		69		145
2		54		69		185
1		31		72		220
1		27		72		260
1		62		71		232
1		30		70		178
1		58		68		190
2		60		64		208
2		80		62		145
2		56		65		224
2		73		68		115
2		51		68		250
2		19		63		200
2		41		67		160
1		46		74		280
1		37		64		175
1		67		68		230
1		33		70		203
2		69		68		155
2		31		66		180
2		42		67		180
1		34		73		147
1		47		70		180
1		33		75		228
2		37		63		135
2		61		62		110
2		63		66		150
1		50		68		140
2		80		67		185
2		60		62		120
2		72		67		124
1		19		74		200
1		24		72		222
2		82		61		110
2		78		68		160
1		20		73		160
1		41		71		230
2		28		63		190
1		45		73		170
2		60		67		203
1		64		65		160
1		57		72		200
2		75		62		178
1		37		71		200
2		30		64		220
2		27		60		177
1		20		70		185
1		58		70		175
1		69		67		177
1		82		71		188
1		71		66		180
1		53		67		219
1		85		73		210
2		56		64		125
1		41		68		220
1		85		70		206
2		39		66		130
1		33		72		221
2		65		63		178
2		74		67		220
1		55		72		215
2		42		64		187
2		63		61		185
1		73		69		184
2		28		61		200
2		35		61		135
1		59		67		150
2		49		69		160
1		44		69		250
1		37		69		182
2		65		65		139
2		77		65		189
1		36		71		190
1		39		63		179
2		44		68		195
1		69		67		199
2		64		63		145
2		36		61		195
2		37		62		140
2		75		62		120
2		19		62		130
2		49		67		170
1		67		69		155
1		22		72		265
2		68		63		202
2		67		62		200
2		70		62		150
1		69		70		200
1		62		70		220
2		69		62		185
2		85		62		115
2		22		65		125
1		77		65		160
2		51		67		150
1		71		69		245
1		76		66		197
2		48		65		214
2		68		64		200
1		78		71		249
1		38		68		220
1		71		67		218
2		36		67		260
2		71		60		162
2		52		67		185
1		69		71		163
1		49		71		208
2		63		65		200
1		41		71		168
2		85		63		114
2		39		65		200
1		28		67		141
2		34		62		150
2		61		64		125
1		83		66		200
1		61		73		185
2		58		64		260
2		40		67		207
2		73		65		170
1		60		75		230
1		45		66		220
2		76		62		128
1		31		67		160
2		49		61		105
2		31		69		160
1		74		66		140
2		49		67		120
1		74		70		150
2		67		60		100
2		31		61		143
1		84		70		230
2		38		59		170
1		77		65		210
1		24		72		195
2		85		63		130
1		39		68		210
1		72		74		185
1		61		67		165
1		34		72		145
1		46		69		235
1		63		72		210
2		21		63		132
1		34		70		200
1		31		70		170
2		81		64		140
1		78		69		230
2		68		63		170
1		33		73		220
2		65		66		160
2		66		63		140
2		31		63		190
2		18		66		130
1		77		72		165
1		65		72		165
1		65		66		195
1		50		74		292
2		43		65		150
2		63		63		226
1		75		65		175
1		62		75		228
1		72		69		175
2		49		63		189
1		26		72		215
1		71		71		203
2		42		64		130
2		56		60		120
2		29		69		160
1		31		76		185
1		75		69		185
1		61		71		230
1		26		67		205
1		59		65		280
1		53		73		230
1		40		66		210
2		46		66		138
2		49		67		273
1		73		65		137
2		73		64		130
1		29		74		210
1		28		70		179
2		44		61		112
1		75		64		170
1		71		71		192
2		54		65		167
2		48		61		200
1		58		68		225
2		55		65		126
1		61		71		220
2		65		66		135
2		60		65		220
1		71		65		180
2		65		62		105
2		56		67		180
2		32		60		125
2		56		65		165
2		64		63		180
2		72		63		140
2		37		64		120
1		32		72		195
2		74		65		165
2		29		68		159
2		67		61		138
1		75		73		238
2		28		65		168
2		59		62		141
2		38		63		140
1		85		74		208
2		78		63		120
2		18		63		120
2		47		65		158
2		51		63		150
2		41		64		110
2		34		64		145
2		32		59		160
1		25		70		185
2		69		70		151
1		63		71		204
2		54		68		195
2		54		62		234
2		54		67		234
1		65		70		165
2		64		63		225
2		22		62		156
1		29		72		230
2		77		63		151
2		51		70		270
2		76		63		210
1		41		69		150
2		50		66		223
2		36		69		200
2		45		69		140
1		73		68		185
2		81		61		100
1		85		69		185
2		60		67		110
1		50		64		209
1		22		71		185
1		30		69		280
2		72		68		155
1		80		74		143
2		78		59		110
1		54		65		170
2		76		69		140
1		50		69		270
1		31		74		200
2		34		68		145
1		65		63		150
1		59		69		160
2		44		66		160
2		40		64		142
2		68		62		180
2		45		63		200
2		59		64		114
1		60		69		180
1		40		67		183
2		66		60		180
2		29		62		115
2		47		66		140
1		77		67		154
2		54		65		125
1		69		72		235
2		35		66		175
1		46		70		245
1		45		65		140
1		23		72		200
2		51		61		150
2		85		60		145
2		69		60		117
1		37		71		217
2		69		62		155
2		42		61		160
1		68		76		205
2		79		65		150
2		81		64		200
1		21		66		145
2		71		62		120
2		62		62		184
2		85		61		150
2		54		66		132
2		40		65		180
2		41		61		156
2		34		69		211
1		38		70		225
1		68		71		178
1		59		66		150
1		60		67		165
2		34		67		154
1		35		75		275
2		82		64		170
1		49		71		173
1		80		65		155
2		67		66		255
1		26		70		210
1		54		70		170
2		39		66		120
2		50		67		200
2		63		66		125
2		51		63		205
1		28		73		190
1		35		73		188
2		23		63		220
1		40		71		194
2		73		66		145
1		60		70		197
1		55		70		195
2		60		62		120
1		42		73		170
2		18		65		220
2		79		63		165
1		73		70		230
1		66		72		245
1		56		66		185
1		65		72		235
2		27		67		200
2		70		59		138
2		80		66		123
2		85		60		120
2		54		60		160
1		19		68		175
2		23		66		114
1		56		73		230
1		40		67		170
1		74		65		140
2		85		61		132
1		54		75		290
2		48		62		120
2		49		67		165
1		65		74		200
2		60		62		173
2		67		67		189
2		45		65		225
2		27		67		130
2		63		68		220
1		79		68		198
2		59		69		200
2		70		64		150
1		77		66		134
2		63		65		120
1		65		64		210
2		60		68		239
2		23		63		130
1		62		70		190
1		58		69		190
1		78		68		181
1		66		72		245
1		38		66		230
2		66		61		146
1		44		73		240
1		65		70		195
2		36		64		230
2		18		60		120
1		51		69		288
1		84		68		230
1		33		70		220
2		49		66		180
1		63		70		182
2		68		65		250
2		22		61		107
1		63		68		200
2		69		68		225
1		67		73		220
1		66		73		170
1		55		68		178
2		44		63		160
2		64		67		135
1		22		69		150
2		72		64		154
2		82		63		145
1		78		72		160
2		73		62		160
1		48		72		280
2		40		64		175
1		71		69		185
2		28		67		115
2		49		60		140
1		35		75		200
2		55		64		125
2		20		62		175
2		55		61		156
2		73		59		100
1		19		74		170
1		55		67		175
2		85		60		180
1		57		66		195
2		52		62		125
2		24		65		155
2		22		66		154
1		43		67		220
2		75		63		165
2		74		62		137
2		58		62		225
1		41		68		203
1		53		70		198
1		52		73		170
2		66		66		160
1		47		76		250
2		19		67		155
1		32		71		145
1		61		71		160
1		28		67		240
1		68		69		215
1		56		69		180
2		78		64		120
1		65		72		220
1		82		66		185
1		44		71		155
2		28		59		116
1		51		71		180
2		28		62		171
1		85		67		155
2		29		59		116
2		62		65		116
1		61		68		290
1		82		70		183
1		42		72		185
2		22		69		150
2		57		62		130
2		65		66		184
1		37		68		170
1		23		73		140
1		30		67		155
1		72		68		168
2		36		62		205
2		47		65		170
2		33		62		150
1		81		68		203
2		54		64		225
1		46		67		167
1		62		68		162
2		50		68		160
1		24		70		200
1		38		73		290
2		68		70		160
1		60		69		175
2		71		64		118
1		60		70		170
2		50		67		185
2		73		66		185
2		70		61		130
2		79		63		175
1		28		72		205
2		65		63		202
2		41		63		150
2		28		66		128
1		34		71		225
1		40		69		285
2		60		61		140
2		75		67		160
1		39		72		165
1		31		72		210
1		85		68		218
1		26		70		140
2		79		61		112
2		72		62		114
1		50		72		210
2		83		67		189
2		85		61		105
2		34		64		230
2		61		65		112
2		29		67		160
2		45		66		179
1		66		64		167
1		63		74		269
2		69		63		140
2		59		62		204
2		58		60		180
2		63		67		140
2		76		60		170
2		85		61		125
2		46		61		160
2		45		61		120
1		56		73		250
2		49		64		148
2		60		63		127
1		66		70		174
1		34		66		185
2		70		67		130
2		58		60		121
2		85		62		150
2		23		60		120
1		57		70		235
2		37		59		150
2		25		65		175
1		33		70		145
1		42		66		150
1		53		65		220
2		68		65		180
1		63		70		190
1		75		69		240
2		31		61		165
2		68		62		128
2		33		65		195
1		53		67		170
1		48		68		278
2		27		64		105
1		50		67		190
2		77		63		165
2		37		67		165
2		62		62		150
1		69		68		195
1		43		65		179
1		70		70		130
2		75		65		125
1		65		69		210
2		71		66		150
2		47		65		135
1		41		67		160
1		63		69		218
2		57		66		220
2		56		65		152
2		84		60		105
1		43		74		270
1		68		67		145
1		66		66		155
2		73		62		165
1		63		72		210
1		83		70		254
1		65		69		185
1		41		70		175
2		41		67		135
1		52		67		175
2		63		67		200
2		57		68		260
1		71		73		220
2		72		61		132
2		75		61		149
2		35		63		227
2		57		59		140
1		58		72		225
2		71		60		133
2		45		68		130
1		21		70		180
2		69		62		155
1		60		68		195
2		33		66		135
1		77		68		206
1		71		69		278
2		54		66		165
2		69		62		150
1		24		72		175
1		29		73		170
2		51		63		230
2		73		64		169
1		66		71		214
2		34		69		230
2		37		70		265
1		70		70		170
2		20		63		120
1		45		75		215
1		50		68		170
1		20		67		210
1		50		65		235
1		43		67		200
2		69		67		174
1		78		64		180
1		76		72		225
1		31		70		215
2		29		62		134
1		68		73		268
1		38		68		172
2		54		66		200
2		58		66		260
2		68		62		120
1		44		70		195
2		85		59		100
2		75		68		205
2		28		62		120
1		58		71		185
2		81		62		130
2		82		64		222
2		85		62		127
1		68		70		155
1		44		74		285
1		31		64		209
2		57		65		186
2		38		63		163
2		70		66		225
1		63		66		271
1		42		66		155
2		66		64		150
2		43		61		120
2		33		67		200
2		62		64		201
2		84		66		105
1		48		70		180
1		58		71		206
2		35		61		130
1		53		66		240
1		42		70		137
1		51		70		217
1		74		70		247
2		29		60		120
1		32		71		238
2		54		68		163
2		52		63		130
2		29		65		125
1		30		68		155
2		22		63		147
2		84		66		160
2		66		63		255
1		71		73		215
2		56		65		140
2		73		66		235
2		47		68		110
1		58		68		168
2		36		65		150
2		55		62		210
1		64		66		232
1		70		74		210
1		32		72		185
1		25		67		260
1		65		70		165
1		36		70		158
2		44		68		119
2		47		66		175
2		49		60		169
2		65		65		150
2		61		65		178
2		41		62		193
1		26		70		188
2		40		60		200
2		59		64		165
1		58		72		220
2		65		65		145
2		80		64		110
2		79		64		140
2		71		67		200
2		32		59		168
1		35		71		190
1		70		71		186
1		75		70		190
2		85		64		163
1		45		70		180
2		33		64		130
2		76		66		154
1		52		72		210
2		85		62		160
1		35		67		185
2		84		62		154
2		70		63		158
2		73		61		160
2		46		62		184
1		57		68		168
2		78		63		174
1		64		69		188
1		51		76		250
1		60		67		200
1		23		67		154
1		43		69		200
1		60		69		178
2		76		59		140
1		52		73		240
2		58		65		140
1		73		70		195
2		37		64		135
1		55		66		175
2		85		61		137
2		47		64		160
2		31		69		150
1		19		75		215
2		75		68		180
1		26		68		200
2		42		66		180
2		64		64		160
1		66		72		185
1		68		71		285
2		85		64		138
2		40		62		123
2		40		64		140
2		64		61		200
2		19		63		130
1		58		69		190
2		39		66		145
2		56		61		200
1		65		68		226
2		22		68		150
2		55		63		180
1		75		74		210
1		57		72		215
2		30		69		261
2		38		62		122
2		41		64		125
2		68		64		130
1		25		72		220
1		38		67		220
1		47		71		265
1		37		70		180
1		68		72		185
1		64		71		260
1		47		69		210
2		46		65		178
2		62		66		170
1		63		68		200
2		77		60		120
2		27		62		160
1		65		70		135
2		71		60		199
1		80		69		200
1		73		65		145
1		53		74		200
2		60		67		170
2		58		65		164
1		41		71		190
1		30		66		140
2		41		64		190
1		36		64		200
2		28		64		126
1		72		72		230
1		31		67		210
2		22		63		120
2		34		60		115
2		85		66		120
2		47		64		240
1		60		69		200
1		28		68		140
2		67		63		110
1		32		70		165
1		54		70		203
1		37		75		180
2		79		65		113
2		42		64		145
1		34		66		155
1		58		72		245
2		41		65		240
2		25		60		113
2		50		63		134
1		69		70		250
1		48		73		190
2		43		64		216
2		41		68		160
2		22		66		210
2		75		65		170
2		56		66		220
2		60		67		160
2		62		69		155
2		34		64		165
1		19		72		150
1		36		71		277
1		67		69		195
2		82		66		183
1		20		71		180
1		45		75		200
1		26		73		220
2		38		66		255
2		49		64		220
1		42		74		230
2		39		64		148
2		25		65		180
2		40		63		189
2		56		64		165
1		41		71		165
1		34		69		145
2		19		62		130
1		27		67		160
2		20		64		160
2		48		64		130
2		63		63		215
1		55		66		160
2		74		62		150
1		56		70		147
2		34		63		194
2		30		59		150
2		69		68		240
2		81		60		200
1		65		75		260
2		34		61		200
2		85		61		112
2		38		61		190
2		65		67		140
1		32		70		220
1		31		69		220
2		30		62		130
2		46		62		160
1		32		72		225
1		60		70		200
1		44		72		247
2		70		66		190
2		34		63		106
1		58		72		225
2		26		64		165
1		47		71		230
1		85		74		190
2		29		60		134
1		62		71		235
2		51		64		138
1		66		70		243
1		47		64		145
2		49		63		153
2		42		67		132
1		39		67		198
2		55		66		165
2		51		68		230
2		32		62		180
2		34		62		168
2		52		65		185
1		62		67		150
2		49		66		165
1		61		70		240
1		25		70		160
1		65		67		229
2		58		60		120
1		73		65		192
2		67		61		165
2		75		68		142
2		60		67		120
1		25		70		160
1		72		72		185
1		71		69		143
1		20		65		155
1		43		74		190
2		55		66		200
2		64		62		200
1		35		75		260
1		36		68		170
1		45		73		265
1		31		73		175
1		36		73		205
1		78		66		190
1		74		69		172
2		59		64		155
2		66		59		200
1		57		71		220
2		48		64		219
2		62		67		158
2		61		64		200
2		41		62		145
1		66		66		179
2		85		62		125
1		68		66		160
2		23		64		180
1		24		72		195
2		85		64		135
2		43		59		119
1		83		67		130
2		27		65		130
2		33		64		106
2		85		62		172
1		84		72		190
2		55		63		205
1		52		74		187
1		59		71		210
1		24		70		230
1		73		70		200
1		23		70		270
2		65		63		117
2		78		65		140
2		47		64		155
1		31		72		185
1		77		66		221
1		22		66		128
1		63		73		221
2		85		62		104
1		70		64		140
1		85		67		205
1		45		70		299
2		74		62		180
1		79		71		168
1		33		69		190
1		79		66		160
1		85		70		190
2		70		65		120
2		27		64		175
2		60		63		135
1		60		74		190
1		30		69		175
1		39		70		250
2		62		66		142
2		56		66		175
1		85		71		225
2		70		66		223
1		69		67		239
2		31		68		175
1		32		70		230
2		83		62		127
2		21		63		120
2		53		60		110
1		79		70		190
1		33		67		165
1		60		71		245
2		41		61		163
2		52		62		102
1		77		72		195
1		73		73		200
1		84		68		130
2		75		63		149
1		38		73		170
2		70		62		135
1		65		72		237
2		39		65		211
1		69		73		195
1		26		69		150
1		71		71		189
1		37		68		175
1		47		69		190
2		75		60		123
2		30		63		200
1		34		68		225
1		68		67		200
2		54		59		197
1		61		74		220
2		46		63		175
2		56		65		175
2		27		69		140
1		49		70		250
2		48		64		165
1		67		72		280
2		59		67		158
2		69		66		115
1		79		74		225
2		43		70		155
1		75		71		240
2		48		63		125
1		58		70		255
1		38		70		170
2		51		62		160
2		80		61		155
1		29		73		174
1		29		67		200
1		23		68		150
2		46		63		170
2		66		65		170
1		59		70		145
2		65		62		125
1		40		73		245
2		77		63		175
2		80		62		190
1		63		66		168
1		85		70		180
